id;hearing_date;next_hearing_date;description;previous_hearing_date;conclusion;comment;status;freefield_1;freefield_2;freefield_3;freefield_4;freefield_5;last_modified_by;last_modified
1;2022-01-19T11:21:26;2022-01-19T17:20:27;Intelligent groupware Stand-alone;2022-01-19T23:13:58;Shirt Account;Compatible quantify;Awesome;Frozen;Senior;installation Unbranded;Checking Health Account;maximize Small;CSS Florida;Toys
2;2022-01-20T07:52:18;2022-01-20T06:05:58;payment back-end;2022-01-20T05:46:50;TCP Facilitator Unions;Path;fault-tolerant;Planner Guilder;Pizza;virtual Small;SMS Advanced Tenge;Concrete Licensed up;cultivate Jersey digital;Administrator
3;2022-01-20T01:46:38;2022-01-19T14:53:07;alarm;2022-01-20T01:49:57;Officer Buckinghamshire;e-services deposit;paradigms Paradigm;Wooden;Computer;pink Functionality auxiliary;Utah teal Pants;Handcrafted Object-based Islands;drive implement Producer;Games Berkshire
4;2022-01-19T17:46:42;2022-01-20T07:16:45;application RAM;2022-01-19T20:35:37;streamline;Florida;District;Tobago Centralized;navigating Car;Yen olive;intuitive quantifying intermediate;Global Toys;Fantastic system incremental;schemas solutions
5;2022-01-19T22:32:03;2022-01-19T15:22:40;USB;2022-01-20T09:47:59;index GB;invoice;turn-key ivory;Ridge;Small Object-based;Berkshire;green;Soft Unbranded;Account Soap Granite;Cambridgeshire Operative
6;2022-01-20T08:33:51;2022-01-19T21:30:40;Account;2022-01-20T03:22:47;Georgia radical Tala;withdrawal;calculating Orchestrator strategy;content-based Rupee front-end;Keys Shoes;Garden;Chief Personal;Buckinghamshire Handmade;e-business PCI;Refined
7;2022-01-19T20:20:56;2022-01-19T19:15:08;quantifying;2022-01-19T13:20:40;iterate Dollar;Investment Bulgaria efficient;Books Frozen;Producer SMS feed;open-source;drive;Shoes Wallis solid;input;transmit;Handmade
8;2022-01-19T22:01:29;2022-01-19T19:43:15;Organic Synchronised;2022-01-19T18:17:21;New;Dinar;Bedfordshire hacking Intelligent;Auto;Dynamic;Table Ergonomic Row;Garden;Account Garden;target;Fresh Administrator Movies
9;2022-01-20T06:24:58;2022-01-19T15:37:42;payment Practical;2022-01-19T22:41:26;hacking Data;value-added;Multi-channelled Avon;set Pennsylvania;ivory azure;Bahamian program;Handcrafted Dirham;Berkshire users Iowa;Fresh;Isle
10;2022-01-20T10:06:24;2022-01-19T21:57:02;Gloves Communications;2022-01-20T03:10:48;Colon;multi-byte;partnerships;Associate up;Carolina;Soap Practical;Metal;Designer;methodical Agent;transform orchestrate
